	ref	object_original	trade_original	url	object	trade
4683	18044869	汕尾市公安局“一标三实“信息采集项目结果更正公告（第一次）		http://www.ccgp.gov.cn/cggg/dfgg/gzgg/202206/t20220609_18044869.htm	汕尾市公安局一标三实信息采集项目结果更正公告第一次	
4684	18044870	黑龙江大学FS22004疫情防控专用设备采购更正公告（第一次）		http://www.ccgp.gov.cn/cggg/dfgg/gzgg/202206/t20220609_18044870.htm	黑龙江大学疫情防控专用设备采购更正公告第一次	
4686	18044920	黑龙江大学FS22003图书馆2022年中文纸质图书采购更正公告（第一次）		http://www.ccgp.gov.cn/cggg/dfgg/gzgg/202206/t20220609_18044920.htm	黑龙江大学图书馆年中文纸质图书采购更正公告第一次	
4687	18044922	莱州市夏邱镇联村2022年光伏发电项目更正公告		http://www.ccgp.gov.cn/cggg/dfgg/gzgg/202206/t20220609_18044922.htm	莱州市夏邱镇联村年光伏发电项目更正公告	
4689	18044925	2021年广州市南沙区珠江街两所公办幼儿园信息化建设项目采购更正公告（第一次）（CZ2022-3348）		http://www.ccgp.gov.cn/cggg/dfgg/gzgg/202206/t20220609_18044925.htm	年广州市南沙区珠江街两所公办幼儿园信息化建设项目采购更正公告第一次	
4690	18044944	苏尼特左旗农牧和科技局2018年苏尼特羊智慧家庭牧场建设项目采购更正公告（第三次）		http://www.ccgp.gov.cn/cggg/dfgg/gzgg/202206/t20220609_18044944.htm	苏尼特左旗农牧和科技局年苏尼特羊智慧家庭牧场建设项目采购更正公告第三次	
4691	18044946	郑州经济技术开发区应急管理局防汛物资、设备采购项目-更正公告		http://www.ccgp.gov.cn/cggg/dfgg/gzgg/202206/t20220609_18044946.htm	郑州经济技术开发区应急管理局防汛物资设备采购项目更正公告	
4692	18044951	横琴粤澳深度合作区行政事务局关于采购横琴市民服务中心食堂运营管理服务的项目采购更正公告（第一次）		http://www.ccgp.gov.cn/cggg/dfgg/gzgg/202206/t20220609_18044951.htm	采购横琴市民服务中心食堂运营管理服务的项目采购更正公告第一次	
4696	18044996	2022年阳信县金阳街道梨果冷库项目更正公告		http://www.ccgp.gov.cn/cggg/dfgg/gzgg/202206/t20220609_18044996.htm	年阳信县金阳街道梨果冷库项目更正公告	
4698	18045000	观山湖区金华片区棚户区城中村改造安置房PPP项目社会资本的更正公告		http://www.ccgp.gov.cn/cggg/dfgg/gzgg/202206/t20220609_18045000.htm	观山湖区金华片区棚户区城中村改造安置房项目社会资本的更正公告	
4702	18045035	宣汉县水务局2022年宣汉县山洪灾害高风险区示范试点建设项目采购更正公告（第一次）		http://www.ccgp.gov.cn/cggg/dfgg/gzgg/202206/t20220609_18045035.htm	宣汉县水务局年宣汉县山洪灾害高风险区示范试点建设项目采购更正公告第一次	
4703	18045040	2022年阳信县河流镇刘庙片区垃圾无害化处理设施项目更正公告		http://www.ccgp.gov.cn/cggg/dfgg/gzgg/202206/t20220609_18045040.htm	年阳信县河流镇刘庙片区垃圾无害化处理设施项目更正公告	
4704	18045059	北京市人力资源和社会保障局政务云租用服务更正公告		http://www.ccgp.gov.cn/cggg/dfgg/gzgg/202206/t20220609_18045059.htm	北京市人力资源和社会保障局政务云租用服务更正公告	
4705	18045060	平邑县乡村振兴服务中心2022年衔接推进乡村振兴监理服务项目更正公告		http://www.ccgp.gov.cn/cggg/dfgg/gzgg/202206/t20220609_18045060.htm	平邑县乡村振兴服务中心年衔接推进乡村振兴监理服务项目更正公告	
4706	18045065	黑龙江农业工程职业学院图书馆书架采购项目结果更正公告（第一次）		http://www.ccgp.gov.cn/cggg/dfgg/gzgg/202206/t20220609_18045065.htm	黑龙江农业工程职业学院图书馆书架采购项目结果更正公告第一次	
4707	18045066	白沙黎族自治县教育局-2022年为民办实事项目-白沙县初中学校灯光照明改造项目-更正公告		http://www.ccgp.gov.cn/cggg/dfgg/gzgg/202206/t20220609_18045066.htm	白沙黎族自治县教育局年为民办实事项目白沙县初中学校灯光照明改造项目更正公告	
4709	18045074	白沙黎族自治县妇幼保健院-2020年妇幼保健机构能力建设项目-更正公告		http://www.ccgp.gov.cn/cggg/dfgg/gzgg/202206/t20220609_18045074.htm	白沙黎族自治县妇幼保健院年妇幼保健机构能力建设项目更正公告	
4710	18045077	2022年阳信县劳店镇村内道路提升工程项目更正公告		http://www.ccgp.gov.cn/cggg/dfgg/gzgg/202206/t20220609_18045077.htm	年阳信县劳店镇村内道路提升工程项目更正公告	
4712	18045085	2022年阳信县翟王镇蔬菜批发市场项目更正公告		http://www.ccgp.gov.cn/cggg/dfgg/gzgg/202206/t20220609_18045085.htm	年阳信县翟王镇蔬菜批发市场项目更正公告	
4713	18045107	黑龙江省机关事务管理局省人才公寓项目施工总承包采购更正公告（第一次）		http://www.ccgp.gov.cn/cggg/dfgg/gzgg/202206/t20220609_18045107.htm	黑龙江省机关事务管理局省人才公寓项目施工总承包采购更正公告第一次	
4719	18045148	双高人力社保专业群产教融合基地深化建设采购项目更正公告（第二次）		http://www.ccgp.gov.cn/cggg/dfgg/gzgg/202206/t20220609_18045148.htm	双高人力社保专业群产教融合基地深化建设采购项目更正公告第二次	
4726	18045235	2022年度机动车辆保险服务项目更正公告		http://www.ccgp.gov.cn/cggg/dfgg/gzgg/202206/t20220609_18045235.htm	年度机动车辆保险服务项目更正公告	
4727	18045236	北京工商大学阜成路校区物业管理服务项目更正公告		http://www.ccgp.gov.cn/cggg/dfgg/gzgg/202206/t20220609_18045236.htm	北京工商大学阜成路校区物业管理服务项目更正公告	
4728	18045243	烟台市危险化学品常驻式安全技术服务采购项目更正公告		http://www.ccgp.gov.cn/cggg/dfgg/gzgg/202206/t20220609_18045243.htm	烟台市危险化学品常驻式安全技术服务采购项目更正公告	
4729	18045253	福清市老年大学综合楼物业管理服务服务类采购项目标前更正公告		http://www.ccgp.gov.cn/cggg/dfgg/gzgg/202206/t20220609_18045253.htm	福清市老年大学综合楼物业管理服务服务类采购项目标前更正公告	
4730	18045257	2020-2021学年滦南县农村小学生营养改善计划蛋奶采购项目更正公告		http://www.ccgp.gov.cn/cggg/dfgg/gzgg/202206/t20220609_18045257.htm	学年滦南县农村小学生营养改善计划蛋奶采购项目更正公告	
4731	18045258	滦南县广播电视台演播室设备采购项目更正公告		http://www.ccgp.gov.cn/cggg/dfgg/gzgg/202206/t20220609_18045258.htm	滦南县广播电视台演播室设备采购项目更正公告	
4732	18045259	滦南卫生健康局疾控中心实验室改造提升项目更正公告		http://www.ccgp.gov.cn/cggg/dfgg/gzgg/202206/t20220609_18045259.htm	滦南卫生健康局疾控中心实验室改造提升项目更正公告	
4733	18045263	滦南县自然资源和规划局地热资源勘查项目更正公告		http://www.ccgp.gov.cn/cggg/dfgg/gzgg/202206/t20220609_18045263.htm	滦南县自然资源和规划局地热资源勘查项目更正公告	
4734	18045264	滦南县南堡湿地基础设施建设项目更正公告		http://www.ccgp.gov.cn/cggg/dfgg/gzgg/202206/t20220609_18045264.htm	滦南县南堡湿地基础设施建设项目更正公告	
4735	18045265	滦南县教育局图书馆设备采购项目更正公告		http://www.ccgp.gov.cn/cggg/dfgg/gzgg/202206/t20220609_18045265.htm	滦南县教育局图书馆设备采购项目更正公告	
4736	18045266	滦南县社会治理现代化网络管控平台建设项目更正公告		http://www.ccgp.gov.cn/cggg/dfgg/gzgg/202206/t20220609_18045266.htm	滦南县社会治理现代化网络管控平台建设项目更正公告	
4737	18045267	滦南县教育局图书采购项目更正公告		http://www.ccgp.gov.cn/cggg/dfgg/gzgg/202206/t20220609_18045267.htm	滦南县教育局图书采购项目更正公告	
4738	18045276	礼泉县考试管理中心礼泉一中语音设备升级改造项目采购更正公告（第二次）		http://www.ccgp.gov.cn/cggg/dfgg/gzgg/202206/t20220609_18045276.htm	礼泉县考试管理中心礼泉一中语音设备升级改造项目采购更正公告第二次	
4741	18045314	黄陵县农村综合改革服务中心黄陵县隆坊镇温窑科村美丽乡村试点项目结果更正公告（第一次）		http://www.ccgp.gov.cn/cggg/dfgg/gzgg/202206/t20220609_18045314.htm	黄陵县农村综合改革服务中心黄陵县隆坊镇温窑科村美丽乡村试点项目结果更正公告第一次	
4742	18045317	黑龙江省机关事务管理局省人才公寓项目监理服务采购更正公告（第一次）		http://www.ccgp.gov.cn/cggg/dfgg/gzgg/202206/t20220609_18045317.htm	黑龙江省机关事务管理局省人才公寓项目监理服务采购更正公告第一次	
4743	18045319	威海市文登区妇幼保健院信息管理软件项目竞争性磋商变更公告		http://www.ccgp.gov.cn/cggg/dfgg/gzgg/202206/t20220609_18045319.htm	威海市文登区妇幼保健院信息管理软件项目竞争性磋商变更公告	
4745	18045362	网球赛事活动及人才培养经费其他体育服务采购项目（京津冀网球赛事）竞争性磋商公告更正公告更正公告		http://www.ccgp.gov.cn/cggg/dfgg/gzgg/202206/t20220609_18045362.htm	网球赛事活动及人才培养经费其他体育服务采购项目京津冀网球赛事竞争性磋商公告更正公告更正公告	
4746	18045364	网球赛事活动及人才培养经费其他体育服务采购项目（全民健身赛事）公开招标公告更正公告更正公告		http://www.ccgp.gov.cn/cggg/dfgg/gzgg/202206/t20220609_18045364.htm	网球赛事活动及人才培养经费其他体育服务采购项目全民健身赛事公开招标公告更正公告更正公告	
4747	18045365	北京自贸试验区科技创新片区海淀组团战略优化研究成交公告补充公告		http://www.ccgp.gov.cn/cggg/dfgg/gzgg/202206/t20220609_18045365.htm	北京自贸试验区科技创新片区海淀组团战略优化研究成交公告补充公告	
4749	18045377	黑龙江林业职业技术学院教务处教学设备采购项目采购更正公告（第一次）		http://www.ccgp.gov.cn/cggg/dfgg/gzgg/202206/t20220609_18045377.htm	黑龙江林业职业技术学院教务处教学设备采购项目采购更正公告第一次	
4750	18045381	网球赛事活动及人才培养经费其他体育服务采购项目（青少年网球训练）竞争性磋商公告更正公告更正公告		http://www.ccgp.gov.cn/cggg/dfgg/gzgg/202206/t20220609_18045381.htm	网球赛事活动及人才培养经费其他体育服务采购项目青少年网球训练竞争性磋商公告更正公告更正公告	
4751	18045391	秦皇岛市第一医院外科楼及综合门诊楼以外区域保洁服务更正公告		http://www.ccgp.gov.cn/cggg/dfgg/gzgg/202206/t20220609_18045391.htm	秦皇岛市第一医院外科楼及综合门诊楼以外区域保洁服务更正公告	
4753	18045402	成渝青年大学生音乐+创新创业大赛活动执行采购项目采购更正公告（第一次）		http://www.ccgp.gov.cn/cggg/dfgg/gzgg/202206/t20220609_18045402.htm	成渝青年大学生音乐创新创业大赛活动执行采购项目采购更正公告第一次	
4755	18045416	深州市疾病预防控制中心医疗服务与保障能力提升项目中标公告更正公告		http://www.ccgp.gov.cn/cggg/dfgg/gzgg/202206/t20220609_18045416.htm	深州市疾病预防控制中心医疗服务与保障能力提升项目中标公告更正公告	
4757	18045460	清远市清新区医共体信息服务平台项目采购更正公告（第二次）		http://www.ccgp.gov.cn/cggg/dfgg/gzgg/202206/t20220609_18045460.htm	清远市清新区医共体信息服务平台项目采购更正公告第二次	
4760	18045490	康定市乡村振兴局康定市雅拉乡王母村乡村振兴示范村（二期）建设项目监理服务采购采购更正公告（第一次）		http://www.ccgp.gov.cn/cggg/dfgg/gzgg/202206/t20220609_18045490.htm	康定市乡村振兴局康定市雅拉乡王母村乡村振兴示范村二期建设项目监理服务采购采购更正公告第一次	
4762	18045499	黑龙江八一农垦大学学生处及研究生出创新创业印刷服务采购采购更正公告（第一次）		http://www.ccgp.gov.cn/cggg/dfgg/gzgg/202206/t20220609_18045499.htm	黑龙江八一农垦大学学生处及研究生出创新创业印刷服务采购采购更正公告第一次	
4764	18045507	内江市公路建设服务中心内江段内江市直管国省干线公路四座危旧桥梁加固改造工程勘察设计项目采购更正公告（第一次）		http://www.ccgp.gov.cn/cggg/dfgg/gzgg/202206/t20220609_18045507.htm	内江市公路建设服务中心内江段内江市直管国省干线公路四座危旧桥梁加固改造工程勘察设计项目采购更正公告第一次	
4765	18045511	2022年阳信县温店镇牛肉精深加工贮藏中试基地项目更正公告		http://www.ccgp.gov.cn/cggg/dfgg/gzgg/202206/t20220609_18045511.htm	年阳信县温店镇牛肉精深加工贮藏中试基地项目更正公告	
4766	18045537	2022年中央(第二批)新街镇郝家庄九组产业路项目结果更正公告（第一次）		http://www.ccgp.gov.cn/cggg/dfgg/gzgg/202206/t20220609_18045537.htm	年中央第二批新街镇郝家庄九组产业路项目结果更正公告第一次	
4768	18045559	吉林农业大学吉林农业大学2022年硕士学位论文委托评审项目		http://www.ccgp.gov.cn/cggg/dfgg/gzgg/202206/t20220609_18045559.htm	吉林农业大学吉林农业大学年硕士学位论文委托评审项目	
4769	18045563	烟台市套子湾污水处理有限公司套子湾污水处理厂一期硝化区域沼气湿式脱硫系统成交公告		http://www.ccgp.gov.cn/cggg/dfgg/gzgg/202206/t20220609_18045563.htm	烟台市套子湾污水处理有限公司套子湾污水处理厂一期硝化区域沼气湿式脱硫系统成交公告	
4771	18045596	珠海市公安局（警务保障处）2022年8月至2024年7月车辆保险采购项目采购更正公告（第一次）		http://www.ccgp.gov.cn/cggg/dfgg/gzgg/202206/t20220609_18045596.htm	珠海市公安局警务保障处年月至年月车辆保险采购项目采购更正公告第一次	
4772	18045598	2022年阳信县流坡坞镇村内道路建设项目更正公告		http://www.ccgp.gov.cn/cggg/dfgg/gzgg/202206/t20220609_18045598.htm	年阳信县流坡坞镇村内道路建设项目更正公告	
4775	18045617	山东省泰安市山东宁阳经济开发区宁阳化工产业园地下水环境状况详细调查评估及风险管控实施方案编制项目更正公告		http://www.ccgp.gov.cn/cggg/dfgg/gzgg/202206/t20220609_18045617.htm	山东省泰安市山东宁阳经济开发区宁阳化工产业园地下水环境状况详细调查评估及风险管控实施方案编制项目更正公告	
4776	18045618	2022年2做小型水库安全鉴定项目更正公告		http://www.ccgp.gov.cn/cggg/dfgg/gzgg/202206/t20220609_18045618.htm	年做小型水库安全鉴定项目更正公告	
4777	18045626	2022年城市水环境综合整治工程更正公告		http://www.ccgp.gov.cn/cggg/dfgg/gzgg/202206/t20220609_18045626.htm	年城市水环境综合整治工程更正公告	
4778	18045627	怀柔区生态环境局2021年度典型企业挥发性有机物（VOCs）深度治理项目更正公告		http://www.ccgp.gov.cn/cggg/dfgg/gzgg/202206/t20220609_18045627.htm	怀柔区生态环境局年度典型企业挥发性有机物深度治理项目更正公告	
4779	18045635	霞浦县三沙镇人民政府关于青官司等6个村村庄规划委托编制服务类采购项目标前更正公告		http://www.ccgp.gov.cn/cggg/dfgg/gzgg/202206/t20220609_18045635.htm	青官司等个村村庄规划委托编制服务类采购项目标前更正公告	
4781	18045647	涿州市图书馆图书馆新馆设备设施采购更正公告		http://www.ccgp.gov.cn/cggg/dfgg/gzgg/202206/t20220609_18045647.htm	涿州市图书馆图书馆新馆设备设施采购更正公告	
4782	18045668	2022年阳信县河流镇刘庙片区垃圾无害化处理配套设施更正公告		http://www.ccgp.gov.cn/cggg/dfgg/gzgg/202206/t20220609_18045668.htm	年阳信县河流镇刘庙片区垃圾无害化处理配套设施更正公告	
4784	18045676	吉林省药品监督管理局药品监管执法检查基本装备配备项目		http://www.ccgp.gov.cn/cggg/dfgg/gzgg/202206/t20220609_18045676.htm	吉林省药品监督管理局药品监管执法检查基本装备配备项目	
4786	18045709	哈尔滨市道外区民主镇人民政府民主镇五星村农村户厕问题整改项目采购更正公告（第一次）		http://www.ccgp.gov.cn/cggg/dfgg/gzgg/202206/t20220609_18045709.htm	哈尔滨市道外区民主镇人民政府民主镇五星村农村户厕问题整改项目采购更正公告第一次	
4788	18045717	扶风县2022年省级水利发展资金农村供水工程维修改造项目结果更正公告（第一次）		http://www.ccgp.gov.cn/cggg/dfgg/gzgg/202206/t20220609_18045717.htm	扶风县年省级水利发展资金农村供水工程维修改造项目结果更正公告第一次	
4791	18045724	莱西市文化和旅游局2022年莱西市吕剧流动舞台进新村项目更正公告		http://www.ccgp.gov.cn/cggg/dfgg/gzgg/202206/t20220609_18045724.htm	莱西市文化和旅游局年莱西市吕剧流动舞台进新村项目更正公告	
4792	18045732	青岛市崂山区人民政府中韩街道办事处中韩街道枣山东路铜川路交叉口南侧废弃采石场治理工程更正公告		http://www.ccgp.gov.cn/cggg/dfgg/gzgg/202206/t20220609_18045732.htm	青岛市崂山区人民政府中韩街道办事处中韩街道枣山东路铜川路交叉口南侧废弃采石场治理工程更正公告	
4793	18045733	莱西市文化和旅游局2022年莱西市公益电影放映项目更正公告		http://www.ccgp.gov.cn/cggg/dfgg/gzgg/202206/t20220609_18045733.htm	莱西市文化和旅游局年莱西市公益电影放映项目更正公告	
4795	18045763	涿鹿县2022年第一批小型水库移民后期扶持项目合同公告更正公告		http://www.ccgp.gov.cn/cggg/dfgg/gzgg/202206/t20220609_18045763.htm	涿鹿县年第一批小型水库移民后期扶持项目合同公告更正公告	
4807	18046026	甘肃农业职业技术学院食品理化实训室升级改造项目第三次招标更正公告		http://www.ccgp.gov.cn/cggg/dfgg/gzgg/202206/t20220609_18046026.htm	甘肃农业职业技术学院食品理化实训室升级改造项目第三次招标更正公告	
4814	18046096	潍坊护理职业学院维修改造工程更正公告		http://www.ccgp.gov.cn/cggg/dfgg/gzgg/202206/t20220609_18046096.htm	潍坊护理职业学院维修改造工程更正公告	
4816	18046121	哈尔滨市道外区民主镇人民政府民主镇五星村农村户厕问题整改项目采购更正公告（第二次）		http://www.ccgp.gov.cn/cggg/dfgg/gzgg/202206/t20220609_18046121.htm	哈尔滨市道外区民主镇人民政府民主镇五星村农村户厕问题整改项目采购更正公告第二次	
4818	18046151	虎林市珍宝岛乡人民政府珍宝岛乡小木河村巷道项目采购更正公告（第一次）		http://www.ccgp.gov.cn/cggg/dfgg/gzgg/202206/t20220609_18046151.htm	虎林市珍宝岛乡人民政府珍宝岛乡小木河村巷道项目采购更正公告第一次	
4820	18046175	闽侯县第六中学闽侯县第六中学初中部阶梯教室设备采购货物类采购项目标前更正公告		http://www.ccgp.gov.cn/cggg/dfgg/gzgg/202206/t20220609_18046175.htm	闽侯县第六中学闽侯县第六中学初中部阶梯教室设备采购货物类采购项目标前更正公告	
4821	18046187	东北农业大学研究生院保密室扩建改造设备等采购及服务（2022分散10）采购更正公告		http://www.ccgp.gov.cn/cggg/dfgg/gzgg/202206/t20220609_18046187.htm	东北农业大学研究生院保密室扩建改造设备等采购及服务分散采购更正公告	
4822	18046194	饶河县国营森川林场林木良种苗木培育项目(三次)采购更正公告（第一次）		http://www.ccgp.gov.cn/cggg/dfgg/gzgg/202206/t20220609_18046194.htm	饶河县国营森川林场林木良种苗木培育项目三次采购更正公告第一次	
4823	18046203	延寿县水务局2022年延寿县河道采砂实施方案项目采购更正公告（第一次）		http://www.ccgp.gov.cn/cggg/dfgg/gzgg/202206/t20220609_18046203.htm	延寿县水务局年延寿县河道采砂实施方案项目采购更正公告第一次	
4824	18046206	检验病理外送服务采购项目采购更正公告（第一次）		http://www.ccgp.gov.cn/cggg/dfgg/gzgg/202206/t20220609_18046206.htm	检验病理外送服务采购项目采购更正公告第一次	
4827	18046225	方正县教育局楼体安全性和抗震性检测鉴定采购项目采购更正公告（第一次）		http://www.ccgp.gov.cn/cggg/dfgg/gzgg/202206/t20220609_18046225.htm	方正县教育局楼体安全性和抗震性检测鉴定采购项目采购更正公告第一次	
4830	18046278	抗战馆物业服务项目更正公告		http://www.ccgp.gov.cn/cggg/dfgg/gzgg/202206/t20220609_18046278.htm	抗战馆物业服务项目更正公告	
4831	18046282	福清市第二医院血透室扩建采购项目标前更正公告		http://www.ccgp.gov.cn/cggg/dfgg/gzgg/202206/t20220609_18046282.htm	福清市第二医院血透室扩建采购项目标前更正公告	
4832	18046284	苏尼特左旗应急管理局内蒙古大唐鼎旺化工有限公司安全风险监控项目采购更正公告		http://www.ccgp.gov.cn/cggg/dfgg/gzgg/202206/t20220609_18046284.htm	苏尼特左旗应急管理局内蒙古大唐鼎旺化工有限公司安全风险监控项目采购更正公告	
4834	18046294	乌拉特中旗自然资源局乌拉特中旗实用性村庄规划采购项目结果更正公告（第一次）		http://www.ccgp.gov.cn/cggg/dfgg/gzgg/202206/t20220609_18046294.htm	乌拉特中旗自然资源局乌拉特中旗实用性村庄规划采购项目结果更正公告第一次	
4838	18046358	哈尔滨医科大学附属肿瘤医院pet-ct设备维保采购更正公告（第一次）		http://www.ccgp.gov.cn/cggg/dfgg/gzgg/202206/t20220609_18046358.htm	哈尔滨医科大学附属肿瘤医院设备维保采购更正公告第一次	
4841	18046374	金湾区图书馆2022年度图书货物采购项目结果更正公告（第一次）		http://www.ccgp.gov.cn/cggg/dfgg/gzgg/202206/t20220609_18046374.htm	金湾区图书馆年度图书货物采购项目结果更正公告第一次	
4842	18046377	彬州市太峪镇景村一组崩塌治理项目勘查设计工作采购更正公告（第二次）		http://www.ccgp.gov.cn/cggg/dfgg/gzgg/202206/t20220609_18046377.htm	彬州市太峪镇景村一组崩塌治理项目勘查设计工作采购更正公告第二次	
4850	18046438	首都医科大学附属北京地坛医院院区路面及停车场修缮项目竞争性磋商公告更正公告		http://www.ccgp.gov.cn/cggg/dfgg/gzgg/202206/t20220609_18046438.htm	首都医科大学附属北京地坛医院院区路面及停车场修缮项目竞争性磋商公告更正公告	
4851	18046440	首都医科大学附属北京地坛医院气动物流系统改造项目公开招标公告更正公告		http://www.ccgp.gov.cn/cggg/dfgg/gzgg/202206/t20220609_18046440.htm	首都医科大学附属北京地坛医院气动物流系统改造项目公开招标公告更正公告	
4852	18046445	国资和安园二期办学条件达标设备配备-教学设备公开招标公告更正公告		http://www.ccgp.gov.cn/cggg/dfgg/gzgg/202206/t20220609_18046445.htm	国资和安园二期办学条件达标设备配备教学设备公开招标公告更正公告	
4855	18046467	兰州石化职业技术学院西校区石化楼外墙保温改造工程更正公告		http://www.ccgp.gov.cn/cggg/dfgg/gzgg/202206/t20220609_18046467.htm	兰州石化职业技术学院西校区石化楼外墙保温改造工程更正公告	
4857	18046472	新院基础运营费-高压配电室运行维护外包服务项目高压配电室运行维护外包服务公开招标公告更正公告		http://www.ccgp.gov.cn/cggg/dfgg/gzgg/202206/t20220609_18046472.htm	新院基础运营费高压配电室运行维护外包服务项目高压配电室运行维护外包服务公开招标公告更正公告	
4859	18046477	新院基础运营费-锅炉房运维外包服务项目锅炉房运维外包服务公开招标公告更正公告		http://www.ccgp.gov.cn/cggg/dfgg/gzgg/202206/t20220609_18046477.htm	新院基础运营费锅炉房运维外包服务项目锅炉房运维外包服务公开招标公告更正公告	
4861	18046487	延寿县发展和改革局延寿县安山乡兴山村人居环境改善项目采购更正公告（第一次）		http://www.ccgp.gov.cn/cggg/dfgg/gzgg/202206/t20220609_18046487.htm	延寿县发展和改革局延寿县安山乡兴山村人居环境改善项目采购更正公告第一次	
4862	18046489	黑龙江省医院广告公司服务项目采购更正公告		http://www.ccgp.gov.cn/cggg/dfgg/gzgg/202206/t20220609_18046489.htm	黑龙江省医院广告公司服务项目采购更正公告	
4863	18046490	昂昂溪区林业和草原局2021年第二批退化草原生态修复项目采购更正公告（第一次）		http://www.ccgp.gov.cn/cggg/dfgg/gzgg/202206/t20220609_18046490.htm	昂昂溪区林业和草原局年第二批退化草原生态修复项目采购更正公告第一次	
4864	18046491	惠东县慢性病防治站迁建项目（一期）信息系统采购项目采购更正公告（第一次）		http://www.ccgp.gov.cn/cggg/dfgg/gzgg/202206/t20220609_18046491.htm	惠东县慢性病防治站迁建项目一期信息系统采购项目采购更正公告第一次	
4865	18046507	新龙县水利局新龙县2022年饮水安全巩固提升项目（管材及附件采购）采购更正公告（第一次）		http://www.ccgp.gov.cn/cggg/dfgg/gzgg/202206/t20220609_18046507.htm	新龙县水利局新龙县年饮水安全巩固提升项目管材及附件采购采购更正公告第一次	
4866	18046535	新院基础运营费-污水站运维外包服务项目污水站运维外包服务公开招标公告更正公告		http://www.ccgp.gov.cn/cggg/dfgg/gzgg/202206/t20220609_18046535.htm	新院基础运营费污水站运维外包服务项目污水站运维外包服务公开招标公告更正公告	
4869	18046578	甘肃能源化工职业学院教学楼内物品采购项目更正公告		http://www.ccgp.gov.cn/cggg/dfgg/gzgg/202206/t20220609_18046578.htm	甘肃能源化工职业学院教学楼内物品采购项目更正公告	
4876	18046626	中共苏尼特左旗纪律检查委员会苏尼特左旗纪委监委加装电梯工程采购更正公告（第一次）		http://www.ccgp.gov.cn/cggg/dfgg/gzgg/202206/t20220609_18046626.htm	中共苏尼特左旗纪律检查委员会苏尼特左旗纪委监委加装电梯工程采购更正公告第一次	
4877	18046638	康保县民政综合服务中心房屋改造项目更正公告		http://www.ccgp.gov.cn/cggg/dfgg/gzgg/202206/t20220609_18046638.htm	康保县民政综合服务中心房屋改造项目更正公告	
4878	18046640	淄博市临淄区市场监督管理局食品安全监督抽检、食品安全测评、特种设备第三方安全检查项目采购变更公告		http://www.ccgp.gov.cn/cggg/dfgg/gzgg/202206/t20220609_18046640.htm	淄博市临淄区市场监督管理局食品安全监督抽检食品安全测评特种设备第三方安全检查项目采购变更公告	
4880	18046658	北川羌族自治县教育和体育局义务教育学校教学设备采购项目采购更正公告（第二次）		http://www.ccgp.gov.cn/cggg/dfgg/gzgg/202206/t20220609_18046658.htm	北川羌族自治县教育和体育局义务教育学校教学设备采购项目采购更正公告第二次	
4882	18046700	哈尔滨师范大学科研仪器无人机温室气体监测系统采购更正公告（第一次）		http://www.ccgp.gov.cn/cggg/dfgg/gzgg/202206/t20220609_18046700.htm	哈尔滨师范大学科研仪器无人机温室气体监测系统采购更正公告第一次	
4886	18046729	扶风县2022年省级水利发展资金农村供水工程维修改造项目结果更正公告（第二次）		http://www.ccgp.gov.cn/cggg/dfgg/gzgg/202206/t20220609_18046729.htm	扶风县年省级水利发展资金农村供水工程维修改造项目结果更正公告第二次	
4887	18046736	大中型水库移民后期扶持2022年度第一批项目采购更正公告（第一次）		http://www.ccgp.gov.cn/cggg/dfgg/gzgg/202206/t20220609_18046736.htm	大中型水库移民后期扶持年度第一批项目采购更正公告第一次	
4889	18046766	鸡西市恒山区红旗乡人民政府张鲜村至丰鲜村农村公路（张鲜至薛家段）(二次)采购更正公告（第一次）		http://www.ccgp.gov.cn/cggg/dfgg/gzgg/202206/t20220609_18046766.htm	鸡西市恒山区红旗乡人民政府张鲜村至丰鲜村农村公路张鲜至薛家段二次采购更正公告第一次	
4890	18046791	大英县教育和体育局大英县农村义务教育学校食堂设施设备采购(二次)采购更正公告（第一次）		http://www.ccgp.gov.cn/cggg/dfgg/gzgg/202206/t20220609_18046791.htm	大英县教育和体育局大英县农村义务教育学校食堂设施设备采购二次采购更正公告第一次	
4892	18046804	木里藏族自治县水利局2022年农村饮水安全维修养护项目（管材采购）采购更正公告（第一次）		http://www.ccgp.gov.cn/cggg/dfgg/gzgg/202206/t20220609_18046804.htm	木里藏族自治县水利局年农村饮水安全维修养护项目管材采购采购更正公告第一次	
4898	18046852	西安市安全生产执法监察支队西安市应急管理综合执法“三室一库”提升改造项目结果更正公告（第一次）		http://www.ccgp.gov.cn/cggg/dfgg/gzgg/202206/t20220609_18046852.htm	西安市安全生产执法监察支队西安市应急管理综合执法三室一库提升改造项目结果更正公告第一次	
4899	18046854	魏县残疾人联合会本级魏县残联2022年残疾人家庭无障碍改造项目更正公告		http://www.ccgp.gov.cn/cggg/dfgg/gzgg/202206/t20220609_18046854.htm	魏县残疾人联合会本级魏县残联年残疾人家庭无障碍改造项目更正公告	
4900	18046893	成都市武侯区公园城市建设和城市更新局一环路（人民南路-大石东路）及其周边街区改造工程项目竣工结算审计服务项目竞争性磋商更正公告		http://www.ccgp.gov.cn/cggg/dfgg/gzgg/202206/t20220609_18046893.htm	成都市武侯区公园城市建设和城市更新局一环路人民南路大石东路及其周边街区改造工程项目竣工结算审计服务项目竞争性磋商更正公告	
