	ref	object_original	trade_original	url	object	trade
5236	18050230	靖宇县公安局警务终端电信综合服务套餐采购项目更正公告	服务/电信和其他信息传输服务/其他电信和信息传输服务	http://www.ccgp.gov.cn/cggg/dfgg/gzgg/202206/t20220609_18050230.htm	靖宇县公安局警务终端电信综合服务套餐采购项目更正公告	服务
5239	18050271	洮南市万宝镇人民政府红旗村等村修建砂石路工程项目成交结果更正公告	货物/土地、建筑物及构筑物/构筑物/道路	http://www.ccgp.gov.cn/cggg/dfgg/gzgg/202206/t20220609_18050271.htm	洮南市万宝镇人民政府红旗村等村修建砂石路工程项目成交结果更正公告	货物
5247	18050345	测试仪器设备采购项目更正公告	货物/通用设备/仪器仪表/其他仪器仪表	http://www.ccgp.gov.cn/cggg/dfgg/gzgg/202206/t20220609_18050345.htm	测试仪器设备采购项目更正公告	货物
5248	18050373	福州市台江第三中心小学鳌峰分校电梯更换采购项目更正公告	货物/通用设备/机械设备/塑料压制液压机/起重设备/电梯	http://www.ccgp.gov.cn/cggg/dfgg/gzgg/202206/t20220609_18050373.htm	福州市台江第三中心小学鳌峰分校电梯更换采购项目更正公告	货物
5249	18050374	深圳市生态环境局南山管理局后海中心区低碳城市运营实施研究项目更正公告	服务/其他服务	http://www.ccgp.gov.cn/cggg/dfgg/gzgg/202206/t20220609_18050374.htm	深圳市生态环境局南山管理局后海中心区低碳城市运营实施研究项目更正公告	服务
5251	18050403	某单位（中钢22029）2022年龙井茶采购项目更正公告（四）	货物/农林牧渔业产品/农产品/茶及饮料原料/茶叶	http://www.ccgp.gov.cn/cggg/dfgg/gzgg/202206/t20220609_18050403.htm	某单位中钢年龙井茶采购项目更正公告四	货物
5252	18050430	某部2022年零星工程项目更正公告	工程/其他建筑工程	http://www.ccgp.gov.cn/cggg/dfgg/gzgg/202206/t20220609_18050430.htm	某部年零星工程项目更正公告	工程
5253	18050433	雷州市代建项目理中心雷州市18个镇老旧小区基础设施改造项目（附城镇二批三期）监理澄清纪要	工程/其他建筑工程	http://www.ccgp.gov.cn/cggg/dfgg/gzgg/202206/t20220609_18050433.htm	雷州市代建项目理中心雷州市个镇老旧小区基础设施改造项目附城镇二批三期监理澄清纪要	工程
5254	18050435	泉州市海丝节水科技有限公司污泥干化系统采购、安装项目澄清公告	货物/其他货物/其他不另分类的物品	http://www.ccgp.gov.cn/cggg/dfgg/gzgg/202206/t20220609_18050435.htm	泉州市海丝节水科技有限公司污泥干化系统采购安装项目澄清公告	货物
5255	18050438	广西郡铖项目管理有限公司关于2022年度富川瑶族自治县城乡低保、城乡特困和孤儿人身意外伤害及附加疾病身故保险项目的暂停公告	服务/金融服务/保险服务/其他保险服务	http://www.ccgp.gov.cn/cggg/dfgg/gzgg/202206/t20220609_18050438.htm	年度富川瑶族自治县城乡低保城乡特困和孤儿人身意外伤害及附加疾病身故保险项目的暂停公告	服务
5256	18050439	福州市数字经济招商服务有限公司第五届数字中国建设峰会福州海峡国际会展中心场馆租赁服务项目更正公告2	服务/租赁服务（不带操作员）/其他租赁服务	http://www.ccgp.gov.cn/cggg/dfgg/gzgg/202206/t20220609_18050439.htm	福州市数字经济招商服务有限公司第五届数字中国建设峰会福州海峡国际会展中心场馆租赁服务项目更正公告	服务
5257	18050456	西林县水电工程管理站广西西林县板桥河山洪沟治理工程(二期)更正公告	工程/其他建筑工程	http://www.ccgp.gov.cn/cggg/dfgg/gzgg/202206/t20220609_18050456.htm	西林县水电工程管理站广西西林县板桥河山洪沟治理工程二期更正公告	工程
5258	18050484	广西品格招标有限公司关于纸质图书采购（项目编号：CZZC2022-C3-00017-GXPG）更正公告	服务/批发和零售服务/批发服务/文化、体育用品和器材批发服务	http://www.ccgp.gov.cn/cggg/dfgg/gzgg/202206/t20220609_18050484.htm	纸质图书采购更正公告	服务
5259	18050487	某部预付费电表采购项目更正公告	货物/通用设备/仪器仪表/电工仪器仪表/电度表	http://www.ccgp.gov.cn/cggg/dfgg/gzgg/202206/t20220609_18050487.htm	某部预付费电表采购项目更正公告	货物
5260	18050488	大连计量检验检测研究院有限公司振动台检定装置采购更正公告	货物/通用设备/计量标准器具及量具、衡器/其他计量标准器具	http://www.ccgp.gov.cn/cggg/dfgg/gzgg/202206/t20220609_18050488.htm	大连计量检验检测研究院有限公司振动台检定装置采购更正公告	货物
5261	18050499	中国传媒大学2022年重要系统等级保护测评项目更正公告	服务/信息技术服务/测试评估认证服务,服务/信息技术服务/运行维护服务/安全运维服务,服务/信息技术服务/信息系统集成实施服务/其他系统集成实施服务	http://www.ccgp.gov.cn/cggg/zygg/gzgg/202206/t20220609_18050499.htm	中国传媒大学年重要系统等级保护测评项目更正公告	服务
5262	18050504	西藏甘露藏药股份有限公司2023-2025年（非直接接触药品）外包装材料采购更正公告	服务/商务服务/采购代理服务	http://www.ccgp.gov.cn/cggg/dfgg/gzgg/202206/t20220609_18050504.htm	西藏甘露藏药股份有限公司年非直接接触药品外包装材料采购更正公告	服务
5263	18050505	晋中市城市管理局晋中市中心城区便民经营点专项规划采购合同公示	服务/其他服务	http://www.ccgp.gov.cn/cggg/dfgg/gzgg/202206/t20220609_18050505.htm	晋中市城市管理局晋中市中心城区便民经营点专项规划采购合同公示	服务
5264	18050545	上海市残疾人联合会残疾人证“跨省通办”管理系统更正公告	服务/其他服务	http://www.ccgp.gov.cn/cggg/dfgg/gzgg/202206/t20220609_18050545.htm	上海市残疾人联合会残疾人证跨省通办管理系统更正公告	服务
5265	18050558	贺州市八步区教育和科学技术局2022年八步区特殊教育补助资金（资源教室）设备采购更正公告	货物/其他货物/其他不另分类的物品	http://www.ccgp.gov.cn/cggg/dfgg/gzgg/202206/t20220609_18050558.htm	贺州市八步区教育和科学技术局年八步区特殊教育补助资金资源教室设备采购更正公告	货物
5267	18050573	福建省三明金叶复烤有限公司选后烟叶防护罩采购项目更正公告	货物/专用设备/烟草加工设备/烟草加工机械零部件	http://www.ccgp.gov.cn/cggg/dfgg/gzgg/202206/t20220609_18050573.htm	福建省三明金叶复烤有限公司选后烟叶防护罩采购项目更正公告	货物
5268	18050583	应急管理部化学品登记中心化学物质爆炸和反应危险性测试设备群（第四包：液体物质燃烧危险性试验装置）更正公告	货物/通用设备/仪器仪表/试验仪器及装置/其他试验仪器及装置	http://www.ccgp.gov.cn/cggg/zygg/gzgg/202206/t20220609_18050583.htm	应急管理部化学品登记中心化学物质爆炸和反应危险性测试设备群第四包液体物质燃烧危险性试验装置更正公告	货物
5270	18050627	应急管理部化学品登记中心化学物质爆炸和反应危险性测试设备群（第五包：饱和蒸气压试验装置）更正公告	货物/通用设备/仪器仪表/试验仪器及装置/其他试验仪器及装置	http://www.ccgp.gov.cn/cggg/zygg/gzgg/202206/t20220609_18050627.htm	应急管理部化学品登记中心化学物质爆炸和反应危险性测试设备群第五包饱和蒸气压试验装置更正公告	货物
5273	18050650	福建省肿瘤医院旧病房楼和简易病房楼等拆除项目标前更正公告	工程/其他建筑工程	http://www.ccgp.gov.cn/cggg/dfgg/gzgg/202206/t20220609_18050650.htm	福建省肿瘤医院旧病房楼和简易病房楼等拆除项目标前更正公告	工程
5274	18050670	深圳市职业技能培训指导中心建筑信息模型技术（BIM）公益性职业技能培训更正公告	服务/其他服务	http://www.ccgp.gov.cn/cggg/dfgg/gzgg/202206/t20220609_18050670.htm	深圳市职业技能培训指导中心建筑信息模型技术公益性职业技能培训更正公告	服务
5276	18050685	吴忠市人民医院新型冠状病毒肺炎疫情形势下消化内科内镜专用过氧乙酸消毒液单价采购项目变更公告（二次）	货物/其他货物/其他不另分类的物品	http://www.ccgp.gov.cn/cggg/dfgg/gzgg/202206/t20220609_18050685.htm	吴忠市人民医院新型冠状病毒肺炎疫情形势下消化内科内镜专用过氧乙酸消毒液单价采购项目变更公告二次	货物
5280	18050726	晋江市金井镇围头村村庄、公厕环境卫生保洁服务采购标前更正公告	服务/环境服务/城镇公共卫生服务/其他城镇公共卫生服务	http://www.ccgp.gov.cn/cggg/dfgg/gzgg/202206/t20220609_18050726.htm	晋江市金井镇围头村村庄公厕环境卫生保洁服务采购标前更正公告	服务
5285	18050793	福建省中医药科学院2021年度及2022年度中央对地方转移支付中医药资金绩效评价和专项审计项目更正公告	服务/商务服务/审计服务	http://www.ccgp.gov.cn/cggg/dfgg/gzgg/202206/t20220609_18050793.htm	福建省中医药科学院年度及年度中央对地方转移支付中医药资金绩效评价和专项审计项目更正公告	服务
5286	18050794	那坡县卫生健康局那坡县乡镇生活饮用水在线监测项目建设更正公告（一）	货物/专用设备/环境污染防治设备/环保监测设备	http://www.ccgp.gov.cn/cggg/dfgg/gzgg/202206/t20220609_18050794.htm	那坡县卫生健康局那坡县乡镇生活饮用水在线监测项目建设更正公告一	货物
5287	18050801	哈尔滨市消防救援支队特勤大队_消防队站伙食给养物资集中配送服务项目更正公告	服务/其他服务	http://www.ccgp.gov.cn/cggg/dfgg/gzgg/202206/t20220609_18050801.htm	哈尔滨市消防救援支队特勤大队_消防队站伙食给养物资集中配送服务项目更正公告	服务
5288	18050802	广西国力招标有限公司关于黎塘监狱关押点调整项目（配电房设备采购及安装）（GXZC2022-G1-001487-GXGL）的更正公告（一）	货物/其他货物/其他不另分类的物品	http://www.ccgp.gov.cn/cggg/dfgg/gzgg/202206/t20220609_18050802.htm	黎塘监狱关押点调整项目配电房设备采购及安装的更正公告一	货物
5289	18050807	北京大学第六医院诊疗能力提升项目——中医经络检测仪更正公告	货物/专用设备/医疗设备/中医器械设备	http://www.ccgp.gov.cn/cggg/zygg/gzgg/202206/t20220609_18050807.htm	北京大学第六医院诊疗能力提升项目中医经络检测仪更正公告	货物
5290	18050813	中国科学技术大学高新园区4-8学生公寓物业管理服务更正公告（二）	服务/房地产服务/物业管理服务	http://www.ccgp.gov.cn/cggg/zygg/gzgg/202206/t20220609_18050813.htm	中国科学技术大学高新园区学生公寓物业管理服务更正公告二	服务
5293	18050832	广西交通职业技术学院建设东区13-18栋新学生公寓及新食堂监控系统项目更正公告	货物/通用设备/广播、电视、电影设备/视频设备/通用摄像机	http://www.ccgp.gov.cn/cggg/dfgg/gzgg/202206/t20220609_18050832.htm	广西交通职业技术学院建设东区栋新学生公寓及新食堂监控系统项目更正公告	货物
5296	18050871	塔城烟草2022年第一阶段采购项目更正公告	服务/其他服务	http://www.ccgp.gov.cn/cggg/dfgg/gzgg/202206/t20220609_18050871.htm	塔城烟草年第一阶段采购项目更正公告	服务
5300	18050950	甘孜藏族自治州水利局甘孜州国控取水及水源地监控项目运行维护采购项目更正公告	服务/水利管理服务/水资源管理服务/水文水利资源监测服务	http://www.ccgp.gov.cn/cggg/dfgg/gzgg/202206/t20220609_18050950.htm	甘孜藏族自治州水利局甘孜州国控取水及水源地监控项目运行维护采购项目更正公告	服务
5301	18050955	中国科学技术大学物质科研楼等楼宇物业管理服务更正公告（二）	服务/房地产服务/物业管理服务	http://www.ccgp.gov.cn/cggg/zygg/gzgg/202206/t20220609_18050955.htm	中国科学技术大学物质科研楼等楼宇物业管理服务更正公告二	服务
5303	18050989	国家税务总局湖北省税务局东湖路办公区物业管理服务项目更正公告	服务/房地产服务/物业管理服务	http://www.ccgp.gov.cn/cggg/zygg/gzgg/202206/t20220609_18050989.htm	国家税务总局湖北省税务局东湖路办公区物业管理服务项目更正公告	服务
5306	18051001	中卫市地下水饮用水源地环境状况调查评估项目更正事项公告(一次)	服务/环境服务/水污染治理服务/地下水污染治理服务	http://www.ccgp.gov.cn/cggg/dfgg/gzgg/202206/t20220609_18051001.htm	中卫市地下水饮用水源地环境状况调查评估项目更正事项公告一次	服务
5307	18051008	广东海事局后勤保障基地海事执法培训设施维修项目更正公告	工程/其他建筑工程	http://www.ccgp.gov.cn/cggg/zygg/gzgg/202206/t20220609_18051008.htm	广东海事局后勤保障基地海事执法培训设施维修项目更正公告	工程
5308	18051010	新疆亚欧兴盛市政工程有限责任公司外雇围栏安装队服务项目更正公告	服务/租赁服务（不带操作员）/其他租赁服务	http://www.ccgp.gov.cn/cggg/dfgg/gzgg/202206/t20220609_18051010.htm	新疆亚欧兴盛市政工程有限责任公司外雇围栏安装队服务项目更正公告	服务
5309	18051011	鞍山东泽置业有限公司2022年鞍山市铁东区裸露地面绿地补植、街巷路补植、中华路和解放路移植补植工程更正公告	工程/构筑物施工/城市道路工程施工,工程/其他建筑工程	http://www.ccgp.gov.cn/cggg/dfgg/gzgg/202206/t20220609_18051011.htm	鞍山东泽置业有限公司年鞍山市铁东区裸露地面绿地补植街巷路补植中华路和解放路移植补植工程更正公告	工程
5310	18051038	吉安市青原区水利投资发展有限公司青原区河道采砂采运装服务项目更正公告(第四次)	服务/采矿业和制造业服务/采矿业服务,服务/水利管理服务/水资源管理服务/其他水资源管理服务	http://www.ccgp.gov.cn/cggg/dfgg/gzgg/202206/t20220609_18051038.htm	吉安市青原区水利投资发展有限公司青原区河道采砂采运装服务项目更正公告第四次	服务
5311	18051043	上海交通大学无液氦稀释制冷强磁场系统项目更正公告	货物/其他货物/其他不另分类的物品	http://www.ccgp.gov.cn/cggg/zygg/gzgg/202206/t20220609_18051043.htm	上海交通大学无液氦稀释制冷强磁场系统项目更正公告	货物
5312	18051044	天海体训中心改造装修项目更正公告	工程/装修工程	http://www.ccgp.gov.cn/cggg/dfgg/gzgg/202206/t20220609_18051044.htm	天海体训中心改造装修项目更正公告	工程
5313	18051049	某部电梯采购安装更正公告	货物/通用设备/机械设备/塑料压制液压机/起重设备/电梯,工程/建筑安装工程/大型设备安装/电梯安装	http://www.ccgp.gov.cn/cggg/dfgg/gzgg/202206/t20220609_18051049.htm	某部电梯采购安装更正公告	货物
5314	18051060	中国海洋大学西海岸校区教室信息化建设和标准化考场建设项目更正公告	货物/通用设备/计算机设备及软件/其他计算机设备及软件	http://www.ccgp.gov.cn/cggg/dfgg/gzgg/202206/t20220609_18051060.htm	中国海洋大学西海岸校区教室信息化建设和标准化考场建设项目更正公告	货物
5316	18051088	辽阳某部电视会议室LED大屏采购项目更正公告	货物/通用设备/办公设备/LED显示屏	http://www.ccgp.gov.cn/cggg/dfgg/gzgg/202206/t20220609_18051088.htm	辽阳某部电视会议室大屏采购项目更正公告	货物
5318	18051105	国家知识产权局专利局专利审查协作天津中心工会购买2022年蛋糕券项目更正公告	货物/食品、饮料和烟草原料/食品及加工盐/焙烤食品	http://www.ccgp.gov.cn/cggg/dfgg/gzgg/202206/t20220609_18051105.htm	国家知识产权局专利局专利审查协作天津中心工会购买年蛋糕券项目更正公告	货物
5319	18051123	中央财经大学“数字中财团学”综合信息管理系统采购项目更正公告（三）	服务/信息技术服务/其他信息技术服务	http://www.ccgp.gov.cn/cggg/zygg/gzgg/202206/t20220609_18051123.htm	中央财经大学数字中财团学综合信息管理系统采购项目更正公告三	服务
5320	18051149	襄阳市樊城区牛首食品产业园租赁服务项目更正公告	服务/房地产服务/房屋租赁服务	http://www.ccgp.gov.cn/cggg/dfgg/gzgg/202206/t20220609_18051149.htm	襄阳市樊城区牛首食品产业园租赁服务项目更正公告	服务
5322	18051178	中央财经大学英语测试系统技术服务支持与功能升级采购项目更正公告（三）	服务/信息技术服务/其他信息技术服务	http://www.ccgp.gov.cn/cggg/zygg/gzgg/202206/t20220609_18051178.htm	中央财经大学英语测试系统技术服务支持与功能升级采购项目更正公告三	服务
5324	18051234	成都市新都区锦门小学校窗帘采购项目更正公告	货物/纺织原料、毛皮、被服装具/被服装具/室内装具/窗帘及类似品	http://www.ccgp.gov.cn/cggg/dfgg/gzgg/202206/t20220609_18051234.htm	成都市新都区锦门小学校窗帘采购项目更正公告	货物
5325	18051236	云之龙咨询集团有限公司委托第三方开展自治区本级定点医药机构医疗保障基金监管服务项目GXZC2022-C3-001416-YZLZ更正公告	服务/其他服务	http://www.ccgp.gov.cn/cggg/dfgg/gzgg/202206/t20220609_18051236.htm	云之龙咨询集团有限公司委托第三方开展自治区本级定点医药机构医疗保障基金监管服务项目更正公告	服务
5326	18051241	驻徐某部文化广场建设项目更正（澄清）公告（一）	工程/建筑物施工/其他建筑物施工	http://www.ccgp.gov.cn/cggg/zygg/gzgg/202206/t20220609_18051241.htm	驻徐某部文化广场建设项目更正澄清公告一	工程
5327	18051244	华中师范大学2022年英语语言学习示范中心数字化语音实验室设备更新项目更正公告	货物/通用设备/计算机设备及软件/终端设备/其他终端设备,货物/通用设备/办公设备/投影仪,货物/通用设备/计算机设备及软件/计算机网络设备/交换设备/以太网交换机	http://www.ccgp.gov.cn/cggg/zygg/gzgg/202206/t20220609_18051244.htm	华中师范大学年英语语言学习示范中心数字化语音实验室设备更新项目更正公告	货物
5328	18051245	宁夏大学信息化助推校园治理能力提升采购项目（一）（第一、二、三、四、五、九标段）更正事项公告(一次)	服务/电信和其他信息传输服务/电信服务/增值电信服务	http://www.ccgp.gov.cn/cggg/dfgg/gzgg/202206/t20220609_18051245.htm	宁夏大学信息化助推校园治理能力提升采购项目一第一二三四五九标段更正事项公告一次	服务
5334	18051264	内蒙古自治区消防救援总队内蒙古总队训练与战勤保障支队训练基础设施维护改造项目更正公告	工程/修缮工程/其他建筑物、构筑物修缮	http://www.ccgp.gov.cn/cggg/dfgg/gzgg/202206/t20220609_18051264.htm	内蒙古自治区消防救援总队内蒙古总队训练与战勤保障支队训练基础设施维护改造项目更正公告	工程
5335	18051273	西藏自治区消防救援总队审计服务机构采购项目更正公告	服务/商务服务/审计服务	http://www.ccgp.gov.cn/cggg/dfgg/gzgg/202206/t20220609_18051273.htm	西藏自治区消防救援总队审计服务机构采购项目更正公告	服务
5336	18051275	某部北奔1929AS牵引车加装项目更正公告	货物/通用设备/车辆/车辆附属设施及零部件	http://www.ccgp.gov.cn/cggg/dfgg/gzgg/202206/t20220609_18051275.htm	某部北奔牵引车加装项目更正公告	货物
5337	18051277	宁夏公共资源交易平台信息化(二期)项目区块链验真统一身份认证整合更正事项公告(第一次)	服务/信息技术服务/软件开发服务/支撑软件开发服务	http://www.ccgp.gov.cn/cggg/dfgg/gzgg/202206/t20220609_18051277.htm	宁夏公共资源交易平台信息化二期项目区块链验真统一身份认证整合更正事项公告第一次	服务
5338	18051291	西藏自治区消防救援总队训练与战勤保障支队2022年度食堂社会化保障采购项目更正公告	服务/住宿和餐饮服务/餐饮服务	http://www.ccgp.gov.cn/cggg/dfgg/gzgg/202206/t20220609_18051291.htm	西藏自治区消防救援总队训练与战勤保障支队年度食堂社会化保障采购项目更正公告	服务
5339	18051296	四川师范大学后勤服务管理中心水泥河砂材料采购项目更正公告	货物/建筑建材/非金属矿物材料/水泥熟料及水泥/水泥,货物/矿与矿物/非金属矿/粘土、砂石	http://www.ccgp.gov.cn/cggg/dfgg/gzgg/202206/t20220609_18051296.htm	四川师范大学后勤服务管理中心水泥河砂材料采购项目更正公告	货物
5340	18051321	云之龙咨询集团有限公司医疗设备采购GXZC2022-J1-001312-YZLZ成交结果更正公告	货物/专用设备/医疗设备/其他医疗设备	http://www.ccgp.gov.cn/cggg/dfgg/gzgg/202206/t20220609_18051321.htm	云之龙咨询集团有限公司医疗设备采购成交结果更正公告	货物
5342	18051353	南京航空航天大学将军路校区留学生与外国专家楼项目——1#楼智能通道管理系统更正公告	工程/建筑安装工程/智能化安装工程/其他智能化安装工程	http://www.ccgp.gov.cn/cggg/dfgg/gzgg/202206/t20220609_18051353.htm	南京航空航天大学将军路校区留学生与外国专家楼项目楼智能通道管理系统更正公告	工程
5343	18051362	中国医学科学院北京协和医院彩色多普勒超声心动仪采购更正公告(3)	货物/专用设备/医疗设备/医用超声波仪器及设备	http://www.ccgp.gov.cn/cggg/zygg/gzgg/202206/t20220609_18051362.htm	中国医学科学院北京协和医院彩色多普勒超声心动仪采购更正公告	货物
5344	18051363	庆安县中医医院CT维保服务采购更正公告	服务/维修和保养服务/医疗设备维修和保养服务,服务/维修和保养服务/其他维修和保养服务	http://www.ccgp.gov.cn/cggg/dfgg/gzgg/202206/t20220609_18051363.htm	庆安县中医医院维保服务采购更正公告	服务
5346	18051369	中国医学科学院北京协和医院便携式超声心动图仪采购更正公告（2）	货物/专用设备/医疗设备/医用超声波仪器及设备	http://www.ccgp.gov.cn/cggg/zygg/gzgg/202206/t20220609_18051369.htm	中国医学科学院北京协和医院便携式超声心动图仪采购更正公告	货物
5347	18051374	电脑台位定制采购项目更正公告	货物/家具用具/台、桌类/其他台、桌类	http://www.ccgp.gov.cn/cggg/dfgg/gzgg/202206/t20220609_18051374.htm	电脑台位定制采购项目更正公告	货物
5348	18051378	庆安县中医医院信息化系统采购项目更正公告	服务/维修和保养服务/医疗设备维修和保养服务	http://www.ccgp.gov.cn/cggg/dfgg/gzgg/202206/t20220609_18051378.htm	庆安县中医医院信息化系统采购项目更正公告	服务
5349	18051475	山东大学齐鲁医院生物安全柜等设备采购项目（血液科）更正公告	货物/医药品/医用材料/其他医用材料	http://www.ccgp.gov.cn/cggg/dfgg/gzgg/202206/t20220609_18051475.htm	山东大学齐鲁医院生物安全柜等设备采购项目血液科更正公告	货物
5350	18051476	中国人民银行拉萨中心支行拉萨市处理中心备中心双人值守运行保障（值守第二人）项目更正公告	货物/其他货物/其他不另分类的物品	http://www.ccgp.gov.cn/cggg/dfgg/gzgg/202206/t20220609_18051476.htm	中国人民银行拉萨中心支行拉萨市处理中心备中心双人值守运行保障值守第二人项目更正公告	货物
5351	18051490	国家市场监督管理总局信息中心2022年度总局内网机房及设备维护保修服务项目更正公告	服务/信息技术服务/运行维护服务/基础环境运维服务,服务/信息技术服务/运行维护服务/硬件运维服务	http://www.ccgp.gov.cn/cggg/zygg/gzgg/202206/t20220609_18051490.htm	国家市场监督管理总局信息中心年度总局内网机房及设备维护保修服务项目更正公告	服务
5353	18051515	某部学院本部教学楼阶梯教室多媒体设备改造更正公告	货物/通用设备/通信设备/传真及数据数字通信设备/数据、多媒体通信终端设备	http://www.ccgp.gov.cn/cggg/dfgg/gzgg/202206/t20220609_18051515.htm	某部学院本部教学楼阶梯教室多媒体设备改造更正公告	货物
5354	18051517	阿里边境管理支队基层单位节能环保取暖改造、轮训队接入市政供暖、执法办案场所升级改造三个项目设计项目更正公告	服务/工程咨询管理服务/工程设计服务	http://www.ccgp.gov.cn/cggg/zygg/gzgg/202206/t20220609_18051517.htm	阿里边境管理支队基层单位节能环保取暖改造轮训队接入市政供暖执法办案场所升级改造三个项目设计项目更正公告	服务
5355	18051531	中国人民银行拉萨中心支行拉萨市处理中心备中心双人值守运行保障（值守第二人）项目更正公告	货物/其他货物/其他不另分类的物品	http://www.ccgp.gov.cn/cggg/dfgg/gzgg/202206/t20220609_18051531.htm	中国人民银行拉萨中心支行拉萨市处理中心备中心双人值守运行保障值守第二人项目更正公告	货物
5357	18051588	福建省漳州监狱漳州监狱办公设备耗材及维修服务采购项目标后更正公告	服务/维修和保养服务/办公设备维修和保养服务	http://www.ccgp.gov.cn/cggg/dfgg/gzgg/202206/t20220609_18051588.htm	福建省漳州监狱漳州监狱办公设备耗材及维修服务采购项目标后更正公告	服务
5358	18051598	智能采血管理系统补遗公告2022-JL13（03）-W10094	货物/专用设备/医疗设备/其他医疗设备	http://www.ccgp.gov.cn/cggg/dfgg/gzgg/202206/t20220609_18051598.htm	智能采血管理系统补遗公告	货物
5359	18051606	宁德师范学院医学院项目红线外及周边区域外接强电等配套设施建设工程更正公告	工程/专业施工/其他专业施工	http://www.ccgp.gov.cn/cggg/dfgg/gzgg/202206/t20220609_18051606.htm	宁德师范学院医学院项目红线外及周边区域外接强电等配套设施建设工程更正公告	工程
5360	18051609	长城文化产业园基础设施（一期）项目工程总承包三标段监理更正公告	服务/工程咨询管理服务/工程监理服务	http://www.ccgp.gov.cn/cggg/dfgg/gzgg/202206/t20220609_18051609.htm	长城文化产业园基础设施一期项目工程总承包三标段监理更正公告	服务
5361	18051612	上海市松江区园林绿化管理中心松江滨水空间专项规划项目更正公告	服务/公共设施管理服务/城市规划和设计服务	http://www.ccgp.gov.cn/cggg/dfgg/gzgg/202206/t20220609_18051612.htm	上海市松江区园林绿化管理中心松江滨水空间专项规划项目更正公告	服务
5363	18051635	明溪县工业集中区地下水环境状况调查实施方案采购项目更正公告	服务/环境服务/水污染治理服务/其他水污染治理服务	http://www.ccgp.gov.cn/cggg/dfgg/gzgg/202206/t20220609_18051635.htm	明溪县工业集中区地下水环境状况调查实施方案采购项目更正公告	服务
5367	18051681	吴忠市利通区应急成品粮粮权买断及承储服务采购项目补充事项公告(二次)	服务/交通运输和仓储服务/仓储服务,服务/交通运输和仓储服务/仓储服务,服务/交通运输和仓储服务/仓储服务,服务/交通运输和仓储服务/仓储服务,服务/交通运输和仓储服务/仓储服务	http://www.ccgp.gov.cn/cggg/dfgg/gzgg/202206/t20220609_18051681.htm	吴忠市利通区应急成品粮粮权买断及承储服务采购项目补充事项公告二次	服务
5368	18051683	广西同泽工程项目管理股份有限公司关于柳江红花库区示位标应急抢通维护更正公告二	服务/其他服务	http://www.ccgp.gov.cn/cggg/dfgg/gzgg/202206/t20220609_18051683.htm	柳江红花库区示位标应急抢通维护更正公告二	服务
5403	18051953	广西顺鸿招标代理有限公司关于2022年柳州市0-7岁下肢结构异常儿童康复救助项目（LZZC2022-C3-990180-GXSH）的更正公告	服务/医疗卫生和社会服务/医疗卫生服务/医院服务	http://www.ccgp.gov.cn/cggg/dfgg/gzgg/202206/t20220610_18051953.htm	年柳州市岁下肢结构异常儿童康复救助项目的更正公告	服务
5405	18051965	新院区文化建设项目三次更正公告	货物/其他货物/其他不另分类的物品	http://www.ccgp.gov.cn/cggg/dfgg/gzgg/202206/t20220610_18051965.htm	新院区文化建设项目三次更正公告	货物
5406	18051974	天津市和平区第八幼儿园和平区第八幼儿园食堂采购项目更正公告	服务/住宿和餐饮服务/餐饮服务	http://www.ccgp.gov.cn/cggg/dfgg/gzgg/202206/t20220610_18051974.htm	天津市和平区第八幼儿园和平区第八幼儿园食堂采购项目更正公告	服务
5408	18051980	滨海县教育局图书等采购及安装项目更正公告（三次）	货物	http://www.ccgp.gov.cn/cggg/dfgg/gzgg/202206/t20220610_18051980.htm	滨海县教育局图书等采购及安装项目更正公告三次	货物
5410	18051999	中华人民共和国青岛机场出入境边防检查站青岛机场出入境边防检查站2022视频拍摄采购项目更正公告	服务/文化、体育、娱乐服务/广播、电视、电影和音像服务/音像制作服务	http://www.ccgp.gov.cn/cggg/zygg/gzgg/202206/t20220610_18051999.htm	中华人民共和国青岛机场出入境边防检查站青岛机场出入境边防检查站视频拍摄采购项目更正公告	服务
5411	18052001	贵港市2022年市本级老旧小区改造项目（GGZC2022-G2-01450-GXBS）澄清公告	工程/建筑物施工/居住用房施工	http://www.ccgp.gov.cn/cggg/dfgg/gzgg/202206/t20220610_18052001.htm	贵港市年市本级老旧小区改造项目澄清公告	工程
5412	18052009	某部视频会议多点控制系统项目（第二次）更正公告	货物/通用设备/通信设备/视频会议系统设备/视频会议多点控制器	http://www.ccgp.gov.cn/cggg/dfgg/gzgg/202206/t20220610_18052009.htm	某部视频会议多点控制系统项目第二次更正公告	货物
5415	18052024	扬州某医院购置检验与病理外送检测服务延期公告	服务/医疗卫生和社会服务/医疗卫生服务/其他医疗卫生服务	http://www.ccgp.gov.cn/cggg/dfgg/gzgg/202206/t20220610_18052024.htm	扬州某医院购置检验与病理外送检测服务延期公告	服务
5416	18052039	牡丹江市森林消防支队林口大队主副食采购定点项目更正公告	货物/食品、饮料和烟草原料/农副食品，动、植物油制品/其他农副食品,货物/食品、饮料和烟草原料/农副食品，动、植物油制品/蛋制品,货物/食品、饮料和烟草原料/农副食品，动、植物油制品/	http://www.ccgp.gov.cn/cggg/dfgg/gzgg/202206/t20220610_18052039.htm	牡丹江市森林消防支队林口大队主副食采购定点项目更正公告	货物
